,mean,std,min,25%,50%,75%,max,count
MV.MBWH..SHZ,1.0,0.0,1.0,1.0,1.0,1.0,1.0,135.0
MV.MBLG..SHZ,3.324611348962557,1.1580602068345591,1.1084039809909736,2.483343996356385,3.2265190573659526,3.900381678134819,9.286896469325661,117.0
MV.MBRY..BHZ,2.137076454480603,0.7933265754622909,0.5651984109229963,1.5947151609003445,2.0192573961812443,2.5171900006935264,4.925705808977749,127.0
MV.MBRY..BHN,4.407886519048439,1.7786408077092652,0.8577100856029539,2.9963909391064485,4.255060611633078,5.516022051825808,9.717762101600533,122.0
MV.MBRY..BHE,4.175946749709097,1.7723429522498046,0.7348238998171023,2.9448821924977295,3.859512027574334,5.333904122249001,9.860446109122737,125.0
MV.MBSS..SHZ,2.068317432821242,0.9103219639818885,0.46052619231859276,1.510640214557721,1.85586121075713,2.294462837968023,6.269265006009027,108.0
MV.MBBY..BHN,1.615346128220924,0.6875627904822739,0.5883454398282021,1.169253274318468,1.4085640917349365,1.8603654022584961,3.8702736890196014,63.0
MV.MBBY..BHE,1.56769192988584,0.6486236137643508,0.6249739730286579,1.194920557254906,1.3593097705142287,1.7904654747947664,3.6062703267833096,63.0
MV.MBGB..BHZ,1.2481925660166189,0.49357102870786257,0.368946832136694,0.9156926340855053,1.116132668671403,1.472692008486659,3.041956214310063,116.0
MV.MBGB..BHN,2.3910749931297715,0.8879571719132855,0.5705558283884659,1.8548873315246555,2.296461894263899,2.6768570605890525,5.558658565465488,128.0
MV.MBGB..BHE,2.3027274226687258,0.8662188048441543,0.5707372677938637,1.768266825777049,2.1287984420436583,2.699996388243866,5.872944545590493,123.0
MV.MBMH..SHZ,2.1208973329099634,1.2394895322424657,0.5153905001662997,1.3894419835462428,1.8020326859142015,2.326740730867747,8.904601537730835,117.0
MV.MBMH..SHN,4.238242926477421,1.8156986074001529,1.4741736945411466,2.909023411152945,3.990159154254542,5.204956431903563,8.715852843715412,82.0
MV.MBMH..SHE,0.11519480165089595,,0.11519480165089595,0.11519480165089595,0.11519480165089595,0.11519480165089595,0.11519480165089595,1.0
MV.MBBY..HHZ,,,,,,,,0.0
MV.MBBY..HHN,,,,,,,,0.0
MV.MBBY..HHE,,,,,,,,0.0
MV.MBGB..HHZ,,,,,,,,0.0
MV.MBGB..HHN,,,,,,,,0.0
MV.MBGB..HHE,,,,,,,,0.0
MV.MBGH..HHZ,,,,,,,,0.0
MV.MBGH..HHN,,,,,,,,0.0
