,mean,std,min,25%,50%,75%,max,count
MV.MBWH..SHZ,0.9646578982366095,0.8093409752913308,0.13630034697387075,0.607371180588749,0.7931354994125295,1.0326729910331498,13.459027528505231,1658.0
MV.MBLG..SHZ,3.392893964785538,2.950104943181563,0.23511678084552676,1.7431367796505504,2.4539902768665915,3.7636327423612554,18.663916477356192,827.0
MV.MBRY..BHZ,1.9726442228453107,1.1834633829149208,0.12023450305435836,1.2884121747813941,1.7779382143419376,2.387600045799185,13.567876929072506,1208.0
MV.MBRY..BHN,4.236699163550516,2.424809775951976,0.06283491694429551,2.679802060584216,3.77327274360433,5.168491052845424,18.959096767416305,1129.0
MV.MBRY..BHE,4.112085080520574,2.4019594400393056,0.2588580673313736,2.5671715092507017,3.6481547778757686,5.109393800538979,19.76300069349251,1185.0
MV.MBSS..SHZ,2.159454844975654,1.4683043575347556,0.21597373840081166,1.409295715879033,1.8719974222362705,2.4158330083570845,12.498005570132884,782.0
MV.MBBY..BHN,1.493791164655558,0.9749827817825806,0.3967459854319218,1.0004375090131836,1.2381356804416281,1.631962018086073,11.496948117019171,337.0
MV.MBBY..BHE,1.455404301346891,1.0118863212461717,0.30919181044264826,0.9726345748286805,1.2023396025321431,1.5315993812974353,11.530697724383169,345.0
MV.MBGB..BHZ,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1811.0
MV.MBGB..BHN,2.4030089420969825,1.6360098629838618,0.05465525943428395,1.772955822433547,2.1226249670672406,2.5189942329294306,17.900710624661176,1789.0
MV.MBGB..BHE,2.2534285180411793,1.4266460083023558,0.05742316779978758,1.668148422734431,1.9892489307370882,2.4092163663922492,14.25213055919356,1790.0
MV.MBMH..SHZ,2.0086806356614955,1.0627178025461204,0.26065144210498986,1.1821562516191741,1.9369092714320721,2.6522592247731924,9.530569670323848,673.0
MV.MBMH..SHN,3.299441108035982,2.112106967649545,0.2187136326251229,1.9866718069260056,3.0168676621935497,4.037587370238022,17.177673980556538,389.0
MV.MBMH..SHE,0.10286629803283036,0.18559828656133687,0.050528773132303105,0.054946089889072264,0.06152013650495561,0.08902374390168502,1.2751621339002885,43.0
MV.MBBY..HHZ,0.6194083555712516,0.30543968037459934,0.25062673757499665,0.49363042269657076,0.578856330524707,0.6942630662668323,5.1558592241541294,342.0
MV.MBBY..HHN,0.9436345303864153,0.3762664177210501,0.3158819506750551,0.7739113713688632,0.913403458830192,1.0506465174709236,4.717811731134151,346.0
MV.MBBY..HHE,0.9738328079233055,0.3784777578641542,0.33331164947463315,0.7755781108868359,0.946217682514279,1.137755362816515,4.977754952205999,348.0
MV.MBGB..HHZ,,,,,,,,0.0
MV.MBGB..HHN,,,,,,,,0.0
MV.MBGB..HHE,,,,,,,,0.0
MV.MBGH..HHZ,,,,,,,,0.0
MV.MBGH..HHN,,,,,,,,0.0
MV.MBGH..HHE,,,,,,,,0.0
MV.MBHA..HHZ,1.4034008977871517,1.0896805155588953,0.46996035089206734,0.8194764542880384,1.0480321405097963,1.5451983288070308,8.941437433412172,120.0
MV.MBHA..HHN,2.26620927923007,1.3020934508360948,0.7545938530772538,1.3836638168561421,1.842517845856862,2.387036192839756,6.68146653946538,121.0
MV.MBHA..HHE,1.780386709795987,0.9917411517587617,0.7728799028579703,1.1359452982042697,1.4101470126982112,2.060974959344954,6.209795702924216,116.0
MV.MBLG..HHZ,,,,,,,,0.0
MV.MBLG..HHN,,,,,,,,0.0
MV.MBLG..HHE,,,,,,,,0.0
MV.MBLY..HHZ,1.0044287292009306,0.7734029810188194,0.05144308661379346,0.5655544150085126,0.7466148617808716,1.1349200418750296,5.721312279017339,355.0
MV.MBLY..HHN,2.0045198927559165,1.3642082638813904,0.10765840127279543,1.200222526365681,1.5331040411115182,2.2820295216993465,9.440107834754908,356.0
MV.MBLY..HHE,1.8876904286870828,1.236412155286672,0.10572239421115903,1.162560439672762,1.4887624758956992,2.228803683133461,10.248705023526323,361.0
MV.MBRV..EHZ,,,,,,,,0.0
MV.MBRY..HHZ,0.6696834916097703,0.47310992328717105,0.35745936242669124,0.47184176347953655,0.595067340239798,0.6716078857476271,3.1218220555736766,32.0
