,mean,std,min,25%,50%,75%,max,count
MV.MBWH..SHZ,,,,,,,,0.0
MV.MBLG..SHZ,,,,,,,,0.0
MV.MBRY..BHZ,,,,,,,,0.0
MV.MBRY..BHN,,,,,,,,0.0
MV.MBRY..BHE,,,,,,,,0.0
MV.MBSS..SHZ,,,,,,,,0.0
MV.MBBY..BHN,,,,,,,,0.0
MV.MBBY..BHE,,,,,,,,0.0
MV.MBGB..BHZ,,,,,,,,0.0
MV.MBGB..BHN,,,,,,,,0.0
MV.MBGB..BHE,,,,,,,,0.0
MV.MBMH..SHZ,,,,,,,,0.0
MV.MBMH..SHN,,,,,,,,0.0
MV.MBMH..SHE,,,,,,,,0.0
MV.MBBY..HHZ,1.2985228985537618,0.8596159958275347,0.2712786394383493,0.7970848827706165,1.0896382623995307,1.6018562238972074,11.706565664785389,788.0
MV.MBBY..HHN,1.7829558253954816,1.1046935588880986,0.05116738003571421,1.0874976996936876,1.5078278156685696,2.3130495853697712,18.355284603790814,789.0
MV.MBBY..HHE,1.7727291025702805,1.1543785037640777,0.3382581445194937,1.0521282325493726,1.4576004605889674,2.2412296057148717,16.987446623049102,758.0
MV.MBGB..HHZ,1.0,0.0,1.0,1.0,1.0,1.0,1.0,859.0
MV.MBGB..HHN,2.064013679575367,0.7747433230474123,0.097667951445187,1.6551219434558628,2.0193554843731265,2.3947734929955966,17.921872176935626,851.0
MV.MBGB..HHE,1.470856137344794,0.7054481102276656,0.3679546429241225,0.9223010165082142,1.2771459131200862,1.9016816325970893,6.182612502704744,847.0
MV.MBGH..HHZ,2.438885315336399,1.954175438752739,0.0743593240138236,1.3210966662304542,1.6948290856600114,2.5252224950600333,12.523040314186023,811.0
MV.MBGH..HHN,3.908949756881626,3.2471082715478796,0.09773851340262334,2.029320250524851,2.7950538293579674,4.119435165861472,19.912134872379912,810.0
MV.MBGH..HHE,4.238071504963615,3.3974406930396652,0.11064478301915688,2.2341798313136483,3.045785130900752,4.464762378066597,18.958778086163584,809.0
MV.MBHA..HHZ,4.288160465525218,2.7615280307134653,0.0504192931953375,2.3824102125756306,3.6017369398172376,5.3249969344662365,19.060735830197757,567.0
MV.MBHA..HHN,6.95009354227697,3.8012814168786933,0.08295561791378822,4.05570971439549,6.088074147283842,9.270661750060096,19.33421030307579,555.0
MV.MBHA..HHE,5.552786383121039,3.2002796128752578,0.06127210310306653,3.1859037456772428,4.620846289163878,7.274761090928242,16.849202929166147,565.0
MV.MBLG..HHZ,2.1002383100678412,1.8080274824118587,0.13026430934202937,1.281071339647202,1.803094918186401,2.3546915276655365,18.67873132048117,747.0
MV.MBLG..HHN,2.6993826744970955,2.035332670418706,0.11767473402311042,1.640560256256412,2.320144289407723,3.222428286185957,19.944867099796365,737.0
MV.MBLG..HHE,1.6806517978704532,1.3438766285388986,0.06442085968740381,0.9026371211292066,1.3941787154834482,2.0075578804238763,11.916563302407052,748.0
MV.MBLY..HHZ,2.1874579073184277,1.6587461630588394,0.1553181374554049,1.3862393797931654,1.8600251195450737,2.3303929085396367,16.078838661481235,254.0
MV.MBLY..HHN,4.111143449076885,2.5737010736731563,0.051507186834352146,2.5844803983512157,3.7059052254737948,5.042613831542418,17.77035468537772,282.0
MV.MBLY..HHE,4.182055147087031,3.076587787305482,0.06332027742458,2.4889730919205286,3.6661238605979127,4.944297947087961,19.75882402931439,290.0
MV.MBRV..EHZ,,,,,,,,0.0
