,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
MV.MBBE..BHE,2.7990180882113314,1.4421245758988501,,,,,,,,,,,
MV.MBBE..BHN,2.925039390235349,1.6240020381744469,,,,,,,,,,,
MV.MBBE..BHZ,1.5655772655270974,1.0542470150753311,,,,,,,,,,,
MV.MBBY..BHE,,,,1.6560908975864175,1.243953725091738,1.3593097705142287,,,,,,,
MV.MBBY..BHN,,,,1.6281668362878803,1.3308728421879645,1.4085640917349365,,,,,,,
MV.MBBY..BHZ,,,,1.2055533179926068,0.9337100741515719,3.79586478875415,,,,,,,
MV.MBBY..HHE,,,,,,,,,0.54163855618962,1.0,0.9325076880614814,1.769650743482358,1.044330902363364
MV.MBBY..HHN,,,,,,,,,0.5277901649134757,1.0107670467141974,0.9886042232188097,1.8389948911362206,1.125345097963636
MV.MBBY..HHZ,,,,,,,,,0.34658136229254743,0.6877584835489655,0.634168529524446,1.2992460258088314,0.7710176276514685
MV.MBFL..EHZ,,,,,,,,,,0.5072355621468081,0.430349407482307,0.8720806928175353,0.3730352872820861
MV.MBFR..HHE,,,,,,,,,,2.6809187224412545,3.288477410542029,5.498281259178753,2.987189880856014
MV.MBFR..HHN,,,,,,,,,,2.778020263618227,3.022840016065769,5.5281865151966505,1.7430480005999247
MV.MBFR..HHZ,,,,,,,,,,1.0793136704185484,0.8356428275976733,2.4346813935092695,1.2344515923907622
MV.MBGA..BHE,1.4233440531608568,0.8801967470291164,,,,,,,,,,,
MV.MBGA..BHN,1.2692996424483818,0.9011233145190385,,,,,,,,,,,
MV.MBGA..BHZ,0.9517651021718405,0.7314962463471097,,,,,,,,,,,
MV.MBGB..BHE,1.707371651369391,1.1905615991248153,1.7182465744509892,2.241378898415813,2.306312095791526,2.1287984420436583,1.1917906575207486,0.7563615166671398,1.2340884553994051,2.4361755127263605,,,
MV.MBGB..BHN,2.2862614566708457,1.359988861891893,1.9280190154720527,2.3071565277468613,2.3655294524510784,2.296461894263899,1.2424011637563952,0.8167805555637825,1.2858707159463498,2.381252734633395,,,
MV.MBGB..BHZ,1.0,0.6944560406434216,1.0,1.1248033296676332,1.1074103918984237,1.116132668671403,0.5769640450611904,0.34206317780429946,0.6047268325826294,1.0967941721454857,,,
MV.MBGB..HHE,,,,,,,,,,1.2284181080066423,0.8848339990579728,1.218896128145817,0.718528537070722
MV.MBGB..HHN,,,,,,,,,,1.1897852074044477,1.237832230133589,2.6817770160952588,1.3196981511778074
MV.MBGB..HHZ,,,,,,,,,,0.6120017113877481,0.599886224276085,1.3820300806677654,0.6765061149173104
MV.MBGE..BHE,1.273368569680177,0.7784834163959641,,,,,,,,,,,
MV.MBGE..BHN,1.1927016300484081,0.7159983317475132,,,,,,,,,,,
MV.MBGE..BHZ,0.7702256864691837,0.498694942606037,,,,,,,,,,,
MV.MBGH..BHE,2.7551958877431533,1.7310174765769206,2.479494642930153,2.964493169357944,3.159975283398785,2.9631334510574363,1.5940408295647244,1.0,1.722703717032784,3.4343484813746503,,,
MV.MBGH..BHN,2.503725194686142,1.3236671735615242,2.2736396846161657,2.873958784333535,2.89868196680231,2.60237839839803,1.3980595433987246,0.9422287255857658,1.5823692054653267,3.0136926631994863,,,
MV.MBGH..BHZ,1.422423752900666,0.9601264389957154,1.4446764544357462,1.8220959400503174,1.6790366487043915,1.6861143431907188,0.9153824519239413,0.6161475347521673,1.0,1.8614977518243496,,,
MV.MBGH..HHE,,,,,,,,,,2.851198895661784,2.075956640148143,3.3111554681450364,1.7378531006638704
MV.MBGH..HHN,,,,,,,,,,2.910515034704527,1.7600729491653009,3.029010766032437,1.7415119299729058
MV.MBGH..HHZ,,,,,,,,,,1.8565028987587369,1.0903905846895354,1.8981388727987054,0.9883969912690174
MV.MBHA..HHE,,,,,,,,,0.8751861338234415,1.818117559825613,2.8281337479917354,6.731317291483028,3.0181355325272694
MV.MBHA..HHN,,,,,,,,,1.0182059179924134,2.2679312575843396,3.7695189120875945,7.358222529843841,3.809454327941601
MV.MBHA..HHZ,,,,,,,,,0.6633064667725598,1.3917412325617358,2.1797399649793383,5.733158751002289,2.227043872946501
