trace_id,station,channel,peak_amplitude,time_of_peak,dominant_frequency
FL.BCHH4.10.HHE,BCHH4,HHE,2.3343417840788607,2022-11-01T13:41:45.190000Z,1.9997778024663926
FL.BCHH4.10.HHN,BCHH4,HHN,221.52531347392113,2022-11-01T13:41:47.590000Z,4.266192645261637
FL.BCHH4.10.HHZ,BCHH4,HHZ,182.49009034159366,2022-11-01T13:41:47.590000Z,4.266192645261637
FL.S39A1.00.HHE,S39A1,HHE,3066.3144499831205,2022-11-01T13:41:12.870000Z,5.5104988334629486
FL.S39A1.00.HHN,S39A1,HHN,1619.2280831300207,2022-11-01T13:41:11.950000Z,3.7773580713254082
FL.S39A1.00.HHZ,S39A1,HHZ,4028.5088998292285,2022-11-01T13:41:12.820000Z,3.8217975780468834
FL.BCHH2.10.HD4,BCHH2,HD4,50.10866773089061,2022-11-01T13:41:46.000000Z,12.565270525497166
FL.BCHH2.10.HD5,BCHH2,HD5,1.0176955659403563e-12,2022-11-01T13:41:53.520000Z,0.511054327296967
FL.BCHH2.10.HD6,BCHH2,HD6,43.92370347650639,2022-11-01T13:41:43.700000Z,12.554160648816797
FL.BCHH2.10.HD7,BCHH2,HD7,41.626291200289195,2022-11-01T13:41:52.160000Z,12.554160648816797
FL.BCHH2.10.HD8,BCHH2,HD8,39.08535581629018,2022-11-01T13:41:52.160000Z,12.554160648816797
FL.BCHH2.10.HD9,BCHH2,HD9,39.941153935477146,2022-11-01T13:41:52.160000Z,12.554160648816797
FL.BCHH4.00.HD2,BCHH4,HD2,3.515164700218832,2022-11-01T13:41:54.950000Z,1.4220642150872125
FL.BCHH4.00.HD3,BCHH4,HD3,0.005058322195885144,2022-11-01T13:41:37.560000Z,20.031107654705032
FL.BCHH4.00.HDF,BCHH4,HDF,,2022-11-01T13:41:19.450000Z,0.0
FL.S39A1.10.HDF,S39A1,HDF,463.5940382246869,2022-11-01T13:41:12.490000Z,10.0211087656927
