,mean,std,min,25%,50%,75%,max,count
MV.MBWH..SHZ,0.9440333775383045,0.4339892950467521,0.3204433953595404,0.6391360088937394,0.8171555195823038,1.2006333998632854,2.3296750337750156,83.0
MV.MBLG..SHZ,2.4034006326748214,1.561393012979656,0.4176707625449333,1.416266662747778,2.054831832686329,2.7105637821037014,8.880188809204109,74.0
MV.MBRY..BHZ,1.947168946295482,1.1511475525048132,0.28731501336650467,1.0699584432847309,1.6925189074951072,2.411399972796872,5.958857249237281,77.0
MV.MBRY..BHN,4.081503237875751,2.2087672243696295,0.5852732484949676,2.4321319726863906,4.000079948928758,5.398339289055567,9.9994573596067,72.0
MV.MBRY..BHE,3.66762792427866,2.0947843072234327,0.5264931446994808,1.8867743774715915,3.1674535147678937,4.952883737711024,8.863521640883613,74.0
MV.MBSS..SHZ,1.952902342803766,1.0909704515128298,0.28306491290436336,1.3024553921681328,1.7567773764385262,2.3375561504696094,6.433025710927306,70.0
MV.MBBY..BHN,,,,,,,,0.0
MV.MBBY..BHE,,,,,,,,0.0
MV.MBGB..BHZ,1.0,0.0,1.0,1.0,1.0,1.0,1.0,86.0
MV.MBGB..BHN,1.9298590756549527,0.5394797508858014,0.6322116389008439,1.5863571502622404,1.9280190154720527,2.278849789070997,3.4350300671869474,83.0
MV.MBGB..BHE,1.8258496299099003,0.5177355142224188,0.5194582123168804,1.541678598766706,1.7182465744509892,2.1100693198883933,3.6053296459797988,84.0
MV.MBMH..SHZ,1.8493708347645104,1.0853610285541102,0.31637846868465114,1.1030824504198984,1.553816840745635,2.5058178439818586,5.724289224689895,74.0
MV.MBMH..SHN,,,,,,,,0.0
MV.MBMH..SHE,,,,,,,,0.0
MV.MBBY..HHZ,,,,,,,,0.0
MV.MBBY..HHN,,,,,,,,0.0
MV.MBBY..HHE,,,,,,,,0.0
MV.MBGB..HHZ,,,,,,,,0.0
MV.MBGB..HHN,,,,,,,,0.0
MV.MBGB..HHE,,,,,,,,0.0
MV.MBGH..HHZ,,,,,,,,0.0
MV.MBGH..HHN,,,,,,,,0.0
MV.MBGH..HHE,,,,,,,,0.0
MV.MBHA..HHZ,,,,,,,,0.0
MV.MBHA..HHN,,,,,,,,0.0
MV.MBHA..HHE,,,,,,,,0.0
MV.MBLG..HHZ,,,,,,,,0.0
MV.MBLG..HHN,,,,,,,,0.0
MV.MBLG..HHE,,,,,,,,0.0
MV.MBLY..HHZ,,,,,,,,0.0
MV.MBLY..HHN,,,,,,,,0.0
MV.MBLY..HHE,,,,,,,,0.0
MV.MBRV..EHZ,,,,,,,,0.0
MV.MBRY..HHZ,,,,,,,,0.0
MV.MBRY..HHN,,,,,,,,0.0
MV.MBRY..HHE,,,,,,,,0.0
MV.MBWH..HHZ,,,,,,,,0.0
MV.MBWH..HHN,,,,,,,,0.0
MV.MBWH..HHE,,,,,,,,0.0
MV.MBFL..EHZ,,,,,,,,0.0
MV.MBFR..HHZ,,,,,,,,0.0
MV.MBFR..HHN,,,,,,,,0.0
MV.MBFR..HHE,,,,,,,,0.0
MV.MBGH.01.EHE,,,,,,,,0.0
MV.MBGH..BHZ,1.5620163231381308,0.5394989121898841,0.6791729855784149,1.21505664196901,1.4446764544357462,1.78074839479908,3.5226803287687014,79.0
MV.MBRV..SHZ,,,,,,,,0.0
MV.MBGH..BHE,2.5405046799422055,0.9840690874171246,0.8033526417452781,1.8587285347582894,2.479494642930153,2.997702098928693,6.198603720602593,79.0
MV.MBGH..BHN,2.422881751919872,1.0702322703575027,0.7762261993982122,1.6775598883187728,2.2736396846161657,2.7575261546495713,5.97009995299778,73.0
MV.MBBY..BHZ,,,,,,,,0.0
MV.MBGH.02.EHE,,,,,,,,0.0
MV.MBLY.06.EHE,,,,,,,,0.0
MV.MBLG..SHE,7.631139481709836,1.6921620119218803,6.434600248213603,7.03286986496172,7.631139481709836,8.229409098457953,8.82767871520607,2.0
MV.MBLYT..HHZ,,,,,,,,0.0
MV.MBLYT..HHN,,,,,,,,0.0
MV.MBLYT..HHE,,,,,,,,0.0
MV.MBLG.10.SHZ,,,,,,,,0.0
MV.MBGA..BHZ,,,,,,,,0.0
MV.MBGA..BHN,,,,,,,,0.0
MV.MBGA..BHE,,,,,,,,0.0
MV.MBRY..SHZ,,,,,,,,0.0
MV.MBGE..BHZ,,,,,,,,0.0
MV.MBGE..BHN,,,,,,,,0.0
MV.MBGE..BHE,,,,,,,,0.0
MV.MBBE..BHZ,,,,,,,,0.0
MV.MBBE..BHN,,,,,,,,0.0
MV.MBBE..BHE,,,,,,,,0.0
MV.MBLY.03.EHE,,,,,,,,0.0
MV.MBLY.01.EHE,,,,,,,,0.0
MV.MBGH.01.HH1,,,,,,,,0.0
MV.MBGH.02.HH2,,,,,,,,0.0
MV.MBLY.05.EHE,,,,,,,,0.0
MV.MBBY..SHZ,,,,,,,,0.0
MV.MBUN..SHZ,,,,,,,,0.0
MV.MBFL..HHZ,,,,,,,,0.0
MV.MBLY.04.EHE,,,,,,,,0.0
MV.DD43..HHE,,,,,,,,0.0
MV.DD43..HHN,,,,,,,,0.0
MV.TEST.0S.SHE,,,,,,,,0.0
MV.MBLY.02.EHE,,,,,,,,0.0
MV.MBLY..EHZ,,,,,,,,0.0
MV.MBLY.01.HH1,,,,,,,,0.0
MV.MBBY.0H.HHE,,,,,,,,0.0
MV.MBBY.0H.HHN,,,,,,,,0.0
MV.MBBY.0H.HHZ,,,,,,,,0.0
MV.MBFL.0H.EHZ,,,,,,,,0.0
MV.MBFR.0H.HHE,,,,,,,,0.0
MV.MBFR.0H.HHN,,,,,,,,0.0
MV.MBFR.0H.HHZ,,,,,,,,0.0
MV.MBGB.0H.HHE,,,,,,,,0.0
MV.MBGB.0H.HHN,,,,,,,,0.0
MV.MBGB.0H.HHZ,,,,,,,,0.0
MV.MBGH.0H.HHE,,,,,,,,0.0
MV.MBGH.0H.HHN,,,,,,,,0.0
MV.MBGH.0H.HHZ,,,,,,,,0.0
MV.MBLG.0H.HHE,,,,,,,,0.0
MV.MBLG.0H.HHN,,,,,,,,0.0
MV.MBLG.0H.HHZ,,,,,,,,0.0
MV.MBLY.0H.HHE,,,,,,,,0.0
MV.MBLY.0H.HHN,,,,,,,,0.0
MV.MBLY.0H.HHZ,,,,,,,,0.0
MV.MBRV.0H.EHZ,,,,,,,,0.0
MV.MBRY.0H.HHE,,,,,,,,0.0
MV.MBRY.0H.HHN,,,,,,,,0.0
MV.MBRY.0H.HHZ,,,,,,,,0.0
MV.MBWH.0H.HHE,,,,,,,,0.0
MV.MBWH.0H.HHN,,,,,,,,0.0
MV.MBWH.0H.HHZ,,,,,,,,0.0
