,MV.MBGB..BHZ,MV.MBGB..HHZ,ratio
MV.MBBE..BHE,2.848124320827447,,
MV.MBBE..BHN,3.223139402262004,,
MV.MBBE..BHZ,1.6234014261690863,,
MV.MBBY..BHE,1.2023396025321431,,
MV.MBBY..BHN,1.2381356804416281,,
MV.MBBY..BHZ,0.8776157628978984,,
MV.MBBY..HHE,0.946217682514279,0.5924714243584023,0.6261470645783049
MV.MBBY..HHN,0.913403458830192,0.6128873568518256,0.6709930326263036
MV.MBBY..HHZ,0.578856330524707,0.44290568699354516,0.7651392299572353
MV.MBFL..EHZ,,0.2545426924357959,
MV.MBFR..HHE,,1.9016575062824892,
MV.MBFR..HHN,,1.6719936759815794,
MV.MBFR..HHZ,,0.6728994323780527,
MV.MBGA..BHE,1.4792560394695506,,
MV.MBGA..BHN,1.3785226424176884,,
MV.MBGA..BHZ,1.1093162827298408,,
MV.MBGB..BHE,1.9892489307370882,,
MV.MBGB..BHN,2.1226249670672406,,
MV.MBGB..BHZ,1.0,,
MV.MBGB..HHE,,0.5191219944826471,
MV.MBGB..HHN,,0.8208082066803604,
MV.MBGB..HHZ,,0.40647038772134064,
MV.MBGE..BHE,1.355417670889235,,
MV.MBGE..BHN,1.2251376900096813,,
MV.MBGE..BHZ,0.7729270533541528,,
MV.MBGH..BHE,2.8705071998138196,,
MV.MBGH..BHN,2.625398410704258,,
MV.MBGH..BHZ,1.6049699297193896,,
MV.MBGH..HHE,,1.238021463073123,
MV.MBGH..HHN,,1.1361066137211508,
MV.MBGH..HHZ,,0.6888978355696301,
MV.MBHA..HHE,1.4101470126982112,1.8782371827571596,1.3319442340719445
MV.MBHA..HHN,1.842517845856862,2.4746218591227334,1.3430653410968247
MV.MBHA..HHZ,1.0480321405097963,1.4639994103977876,1.3969031614675973
MV.MBLG..HHE,,0.5666923630353978,
MV.MBLG..HHN,,0.9430699488850116,
MV.MBLG..HHZ,,0.7329046904936054,
MV.MBLG..SHE,0.8498685845939377,,
MV.MBLG..SHZ,2.4539902768665915,,
MV.MBLY..HHE,1.4887624758956992,1.4901707870516918,1.000945960943263
MV.MBLY..HHN,1.5331040411115182,1.5063407338568757,0.9825430586985873
MV.MBLY..HHZ,0.7466148617808716,0.7560451315129191,1.0126307018715832
MV.MBMH..SHE,0.06152013650495561,,
MV.MBMH..SHN,3.0168676621935497,,
MV.MBMH..SHZ,1.9369092714320721,,
MV.MBRV..SHZ,0.4172509251887232,,
MV.MBRY..BHE,3.6481547778757686,,
MV.MBRY..BHN,3.77327274360433,,
MV.MBRY..BHZ,1.7779382143419376,,
MV.MBRY..HHE,1.1913698792528513,1.0985000428016354,0.9220478559442364
MV.MBRY..HHN,1.2703437467030145,1.2084408630166326,0.9512707612824941
MV.MBRY..HHZ,0.595067340239798,0.5929070062572874,0.996369597461625
MV.MBSS..SHZ,1.8719974222362705,,
MV.MBWH..HHE,,0.7088420252108841,
MV.MBWH..HHN,,0.5864192452595066,
MV.MBWH..HHZ,,0.2848141850075137,
MV.MBWH..SHZ,0.7931354994125295,,
